,# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,value
409,102250,36.75,6.06,15.0,4.12,15.0,2.12,3
56,14000,45.0,0.0,14.75,0.43,13.0,1.0,5
154,38500,39.0,0.0,2.0,0.0,16.0,0.71,2
471,117750,42.0,0.0,19.0,0.71,19.0,0.71,4
441,110250,48.0,0.0,3.0,0.0,11.25,0.43,2
176,44000,45.0,2.12,13.25,3.42,13.5,3.35,3
353,88250,40.25,0.83,12.0,0.0,0.0,0.0,2
402,100500,37.0,2.74,13.75,3.27,12.0,3.32,3
282,70500,41.75,1.79,9.5,5.5,21.5,1.12,6
208,52000,30.0,0.0,21.0,0.0,18.5,0.5,5
147,36750,40.0,1.63,23.5,1.5,36.0,0.0,1
102,25500,37.0,2.83,13.33,6.13,19.5,1.5,6
141,35250,37.0,8.31,12.5,1.5,13.25,5.49,3
458,114500,27.0,0.0,21.25,0.43,20.67,0.47,0
286,71500,39.25,0.43,4.0,0.71,18.0,0.0,2
267,66750,40.0,1.58,12.5,4.27,13.5,3.35,6
272,68000,38.0,1.0,7.0,0.0,15.5,0.5,5
411,102750,45.0,0.0,18.67,0.47,12.33,0.47,4
112,28000,24.75,6.14,18.25,1.92,20.5,4.97,3
216,54000,27.0,0.0,11.5,0.87,10.75,0.83,2
50,12500,24.0,0.0,23.0,0.0,27.0,0.0,0
127,31750,32.75,5.36,17.5,3.64,21.0,1.87,3
150,37500,45.0,0.0,15.0,0.0,21.0,0.0,5
236,59000,35.0,1.41,14.25,1.48,23.67,0.47,0
443,110750,30.0,0.0,17.33,0.47,12.0,0.71,0
64,16000,31.0,4.08,16.33,7.41,16.67,1.7,3
371,92750,39.67,0.47,3.0,0.0,12.0,0.0,2
376,94000,30.0,0.0,15.5,0.5,20.75,0.43,5
83,20750,30.0,0.0,21.0,0.0,20.67,0.47,5
287,71750,40.5,1.5,15.0,2.12,20.25,3.03,6
399,99750,42.25,0.43,12.5,0.5,5.33,0.47,4
363,90750,43.67,0.47,13.0,0.82,18.5,0.5,4
127,31750,45.0,0.0,19.25,0.43,18.0,0.0,5
232,58000,30.25,0.43,21.0,0.0,21.0,0.0,0
